name;telefon;email;website;link_status;plz;ort;strasse;angebot;koordinaten
PLUSPORT Behindertensport Schweiz;;;https://www.plusport.ch/de/;200;;Volketswil;;Schwimmverein (Wettkampf, Kat. A) – Behindertensport;
Pully-Natation;;;https://www.pully-natation.ch/;404;;Pully;;Schwimmverein (Wettkampf, Kat. A);
Red-Fish Neuchâtel;;;https://www.rfn.ch/;200;;Neuchâtel;;Schwimmverein (Wettkampf, Kat. A);
Région Suisse Romande;;;https://association-rsr.ch/;200;;Jouxtens-Mézery;;Regionalverband;
Regionalverband Ostschweiz;;;https://www.sschv-ros.ch/;200;;Romanshorn;;Regionalverband;
Regionalverband Zentralschweiz – Ost;;;https://www.rzo-aquatics.ch/;200;;Zürich;;Regionalverband;
Regionalverband Zentralschweiz – West;;;https://www.fsn-rzw.ch/;200;;Erlinsbach;;Regionalverband;
Renens Natation;;;https://renens-natation.ch/;200;;Renens;;Schwimmverein (Wettkampf, Kat. A);
Rhy Swimming;;;https://rhyswimming.clubdesk.com/;200;;Widnau;;Schwimmverein (Wettkampf, Kat. A);
Riviera Montreux-Vevey (Waterpolo);;;https://www.montreux-natation.ch/water-polo;200;;Saint-Légier;;Schwimmverein (Wettkampf, Kat. A) – Wasserball;
Rolle Natation;;;https://www.rolle-natation.ch/;200;;Rolle;;Schwimmverein (Wettkampf, Kat. A);
Romont Synchro;;;https://www.romont-synchro.com/;200;;Romont;;Schwimmverein (Wettkampf, Kat. A) – Artistic Swimming;
Schwimm Sport Team Züri-Oberland;;;https://schwimm-schule.ch/;406;;Fischenthal;;Schwimmverein (Wettkampf, Kat. A);
Schwimm- und Rettungsverein Linth;;;http://www.srvlinth.ch/;200;;Näfels;;Schwimmverein (Wettkampf, Kat. A);
Schwimm-Club Appenzell;;;https://www.schwimmclub-appenzell.ch/;200;;Appenzell Steinegg;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Aarefisch;;;https://aarefisch.ch/;200;;Aarau;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Allschwil;;;http://www.scallschwil.ch/;200;;Allschwil;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Aquarius Triesen;;;http://sc-aquarius.li/;301;;Triesen (FL);;Assoziierter Verein;
Schwimmclub Arbon;;;https://wasg.ch/de/;000;;Arbon;;Schwimmschule / Breitensport (Kat. B);
Schwimmclub Baden;;;http://www.scbaden.ch/;200;;Baden;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Birsfelden;;;https://scbirs.ch/;200;;Birsfelden;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Bottmingen-Oberwil;;;http://www.sbo-online.ch/;200;;Bottmingen;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Bülach;;;https://www.scbuelach.ch/;200;;Bülach;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Burgdorf;;;https://scbu.ch/;200;;Burgdorf;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Butterfly Urdorf;;;https://www.scur.ch/;200;;Urdorf;;Schwimmschule / Breitensport (Kat. B);
Schwimmclub Chur;;;https://www.schwimmclubchur.ch/;200;;Chur;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Delphin Uetendorf;;;https://www.uet.ch/;200;;Uetendorf;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Flipper Gossau;;;https://scfg.ch/;200;;Waldkirch;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Flös Buchs;;;https://scfloesbuchs.ch/;200;;Buchs SG;;Schwimmverein (Wettkampf, Kat. A);
